filename,duration_sec,rms_spk1,rms_spk2,rms_mix,cf_spk1,cf_spk2,cf_mix,cf_diff,stft_corr,subset
mix_reverb_1652.wav,6.499,5441.9155,1152.003,1320.846,486.3737153283011,193.1390945702775,263.443135533808,293.2346207580236,0.031334509167393054,train
mix_reverb_1653.wav,6.84,5191.451,3789.9336,4314.284,354.79966136819166,783.7609499728237,686.4767616741034,428.96128860463205,0.22168302833556047,train
mix_reverb_1654.wav,8.1240625,4552.9834,4780.413,5494.1406,430.3479663135875,813.1335520782002,718.3219425438452,382.7855857646127,0.18837405696954235,train
mix_reverb_1655.wav,7.0269375,4801.863,2830.1587,3238.0854,421.55131382510257,129.53024158320213,199.94735544063695,292.02107224190047,0.029814614355082227,train
mix_reverb_1656.wav,7.0791875,5470.8574,4355.1924,4987.698,442.42219680776424,396.7060131294864,409.0511299617566,45.716183678277844,0.1533099786117,train
mix_reverb_1657.wav,6.9746875,5077.7305,5906.5293,6780.942,466.6326535338327,792.7640130008352,713.5025577666814,326.13135946700254,0.10400978485884094,train
mix_reverb_1658.wav,7.1053125,5598.4253,2698.9875,3088.9993,439.2491978665251,670.5602958461582,617.7137451182383,231.31109797963308,0.14797265091971798,train
mix_reverb_1659.wav,6.23,5324.838,2307.466,2640.3132,429.3996676718962,1484.9360966645597,1234.8856683179542,1055.5364289926636,0.10981717477374452,train
mix_reverb_1660.wav,5.99,6940.6265,5894.939,6761.712,309.9191775597826,150.35426036686377,188.54268969494004,159.56491719291884,0.05681057805784912,train
mix_reverb_1661.wav,13.413,4050.98,6155.8433,7076.922,452.4685616408375,523.133567748877,505.28323872560355,70.6650061080395,0.14856788160952783,train
mix_reverb_1662.wav,14.58,3801.1716,7614.303,8701.945,583.1100758990983,374.44121687496556,425.1812072123377,208.66885902413276,0.11794556502888712,train
mix_reverb_1663.wav,6.768,4835.2266,1993.2996,2293.9612,328.88838846987295,707.2457390677375,615.5031824793216,378.3573505978646,0.08528390221745344,train
mix_reverb_1664.wav,19.81,4847.2896,5241.579,6009.842,640.2592455126897,583.61308292469,597.5525874994311,56.6461625879997,0.16667252992864884,train
mix_reverb_1665.wav,18.323,6004.3994,5422.792,6222.443,626.8873716310985,406.9568253105326,460.6518234861126,219.9305463205659,0.12436025629086042,train
mix_reverb_1666.wav,6.9746875,5077.7305,5506.046,6324.2363,466.6326535338327,874.6491398294179,775.3790733406458,408.0164862955852,0.1049433251688731,train
mix_reverb_1667.wav,7.5755,4233.015,3574.2473,4103.2856,663.7452053060398,320.8204243150868,403.5459279893131,342.92478099095297,0.10288313124795469,train
mix_reverb_1668.wav,5.197,2232.1602,7870.2124,9034.727,464.6425976825662,271.0035193128252,318.6238747772918,193.63907836974101,0.1907397024727963,train
